datetime_utc,current_users,max_users
2023-07-04 01:36:37, 2200, 20000
2023-07-04 01:48:25, 2200, 20000
2023-07-04 12:48:13, 2207, 20000
2023-07-05 00:55:08, 2213, 20000
2023-07-05 12:49:40, 2225, 20000
2023-07-07 00:55:33, 2503, 20000
2023-07-07 05:21:26, 2508, 20000
2023-07-07 05:25:27, 2510, 20000
2023-07-07 12:47:25, 2519, 20000
2023-07-08 00:55:09, 2538, 20000
2023-07-08 12:45:38, 2555, 20000
2023-07-09 00:55:25, 2560, 20000
2023-07-09 12:45:39, 2578, 20000
2023-07-10 00:55:55, 2626, 20000
2023-07-10 12:47:58, 2664, 20000
2023-07-11 00:55:21, 2682, 20000
2023-07-11 12:48:03, 2689, 20000
2023-07-12 00:55:08, 2693, 20000
2023-07-12 05:07:12, 2693, 20000
2023-07-12 05:57:16, 2695, 20000
2023-07-12 06:09:15, 2695, 20000
2023-07-12 12:48:31, 2706, 20000
2023-07-13 00:55:27, 2712, 20000
2023-07-13 12:48:32, 2749, 20000
2023-07-14 00:56:09, 2754, 20000
2023-07-14 12:47:29, 2763, 20000
2023-07-18 00:56:37, 2845, 20000
2023-07-18 12:46:15, 2859, 20000
2023-07-19 00:59:07, 2866, 20000
2023-07-19 12:45:03, 2866, 20000
2023-07-20 00:55:46, 2878, 20000
2023-07-20 12:45:21, 2884, 20000
2023-07-21 00:55:04, 2896, 20000
2023-07-21 12:44:24, 2903, 20000
2023-07-22 00:55:21, 2919, 20000
2023-07-22 12:42:51, 2926, 20000
2023-07-23 00:55:02, 2928, 20000
2023-07-23 12:42:45, 2936, 20000
2023-07-24 00:55:35, 2940, 20000
2023-07-24 12:45:20, 2947, 20000
