datetime_utc,storage_slots_used,max_storage_slots
2023-07-04 01:36:39, 10979, 20000
2023-07-04 01:48:29, 10982, 20000
2023-07-04 12:48:17, 11178, 20000
2023-07-05 00:55:12, 11339, 20000
2023-07-05 12:49:44, 11480, 20000
2023-07-07 00:55:37, 13323, 20000
2023-07-07 05:21:30, 13428, 25000
2023-07-07 05:25:31, 13428, 25000
2023-07-07 12:47:29, 13671, 25000
2023-07-08 00:55:13, 13927, 25000
2023-07-08 12:45:42, 14139, 25000
2023-07-09 00:55:28, 14302, 25000
2023-07-09 12:45:43, 14512, 25000
2023-07-10 00:55:59, 14859, 25000
2023-07-10 12:48:02, 15266, 25000
2023-07-11 00:55:25, 15441, 25000
2023-07-11 12:48:07, 15594, 25000
2023-07-12 00:55:12, 15685, 25000
2023-07-12 05:07:16, 15714, 25000
2023-07-12 05:57:20, 15716, 25000
2023-07-12 06:09:18, 15719, 25000
2023-07-12 12:48:34, 15864, 25000
2023-07-13 00:55:31, 15942, 25000
2023-07-13 12:48:36, 16174, 25000
2023-07-14 00:56:12, 16315, 25000
2023-07-14 12:47:33, 16463, 25000
2023-07-18 00:56:40, 17211, 25000
2023-07-18 12:46:19, 17326, 25000
2023-07-19 00:59:11, 17500, 25000
2023-07-19 12:45:06, 17598, 25000
2023-07-20 00:55:50, 17672, 25000
2023-07-20 12:45:25, 17714, 25000
2023-07-21 00:55:08, 17803, 25000
2023-07-21 12:44:28, 17855, 25000
2023-07-22 00:55:25, 17893, 25000
2023-07-22 12:42:55, 17974, 25000
2023-07-23 00:55:06, 18023, 25000
2023-07-23 12:42:49, 18061, 25000
2023-07-24 00:55:39, 18128, 25000
2023-07-24 12:45:24, 18210, 25000
2023-07-25 00:55:15, 18238, 25000
2023-07-25 12:46:31, 18347, 25000
2023-07-26 00:55:10, 18385, 25000
2023-07-26 12:44:50, 18438, 25000
2023-07-27 00:54:25, 18447, 25000
2023-07-27 12:44:53, 18470, 25000
2023-07-28 00:53:49, 18479, 25000
2023-07-28 06:00:27, 18791, 25000
2023-07-28 12:44:38, 19442, 25000
2023-07-29 00:55:34, 19896, 25000
2023-07-29 12:42:12, 20186, 25000
2023-07-30 00:55:52, 20311, 25000
2023-07-30 12:42:46, 21066, 25000
2023-07-31 00:44:36, 21661, 25000
2023-07-31 02:02:08, 21673, 25000
2023-07-31 04:59:45, 21682, 25000
2023-07-31 12:45:54, 22021, 25000
2023-08-01 00:54:51, 22225, 25000
2023-08-01 12:44:54, 22417, 25000
2023-08-02 00:54:25, 22516, 25000
2023-08-02 12:44:55, 22649, 25000
2023-08-03 00:51:03, 22716, 25000
2023-08-03 12:44:49, 22854, 25000
2023-08-04 00:51:10, 22876, 25000
2023-08-04 12:43:52, 22929, 25000
2023-08-05 00:54:25, 22970, 25000
2023-08-05 12:42:17, 23055, 25000
2023-08-06 00:49:30, 23095, 25000
2023-08-06 12:42:07, 23149, 25000
2023-08-07 00:51:56, 23160, 25000
2023-08-07 12:44:25, 23197, 25000
2023-08-08 00:50:35, 23210, 25000
2023-08-08 12:44:05, 23232, 25000
2023-08-09 00:50:54, 23246, 25000
2023-08-09 12:45:55, 23269, 25000
2023-08-10 00:51:40, 23278, 25000
2023-08-10 12:45:49, 23293, 25000
2023-08-11 00:54:10, 23306, 25000
2023-08-11 12:43:00, 23313, 25000
2023-08-12 00:53:57, 23324, 25000
2023-08-12 12:41:27, 23330, 25000
2023-08-13 00:54:14, 23334, 25000
2023-08-13 12:41:24, 23342, 25000
2023-08-14 00:54:06, 23343, 25000
2023-08-14 12:43:34, 23361, 25000
2023-08-15 00:54:02, 23369, 25000
2023-08-15 12:43:07, 23385, 25000
2023-08-16 00:54:04, 23399, 25000
2023-08-16 12:43:28, 23404, 25000
2023-08-17 00:54:09, 23407, 25000
2023-08-17 12:43:04, 23463, 25000
2023-08-18 00:54:05, 23468, 25000
2023-08-18 12:43:04, 23472, 25000
2023-08-19 00:53:57, 23480, 25000
2023-08-19 12:41:11, 23534, 25000
2023-08-20 12:41:16, 23559, 25000
2023-08-21 00:54:10, 23589, 25000
2023-08-21 12:43:50, 23620, 25000
2023-08-22 00:54:13, 23642, 25000
2023-08-22 12:43:51, 23707, 25000
2023-08-23 00:54:15, 23715, 25000
2023-08-23 12:43:46, 23720, 25000
2023-08-24 00:54:07, 23726, 25000
2023-08-24 12:43:40, 23733, 25000
2023-08-25 00:54:10, 23733, 25000
2023-08-25 12:43:24, 23739, 25000
2023-08-26 00:54:03, 23743, 25000
2023-08-26 12:41:30, 23747, 25000
2023-08-27 00:54:22, 23754, 25000
2023-08-27 12:41:46, 23772, 25000
2023-08-28 00:54:08, 23781, 25000
2023-08-28 12:44:31, 23798, 25000
2023-08-29 00:54:09, 23801, 25000
2023-08-29 12:44:23, 23804, 25000
2023-08-30 00:54:06, 23804, 25000
2023-08-30 12:44:03, 23841, 25000
2023-08-31 00:54:13, 23866, 25000
2023-08-31 12:44:21, 23888, 25000
2023-09-01 00:54:28, 23918, 25000
2023-09-01 12:44:00, 23929, 25000
2023-09-02 00:53:56, 23939, 25000
