datetime_utc,storage_slots_used,max_storage_slots
2023-12-29 02:29:55, 80, 80
2023-12-29 02:46:43, 80, 80
2023-12-29 12:43:07, 81, 80
2023-12-30 00:54:11, 81, 80
2023-12-30 12:42:21, 82, 80
2023-12-31 00:54:31, 82, 80
2023-12-31 12:42:39, 82, 80
2024-01-01 00:54:34, 82, 80
2024-01-01 12:43:34, 82, 80
2024-01-02 00:54:12, 82, 80
2024-01-02 12:43:41, 82, 80
2024-01-03 00:54:17, 82, 80
2024-01-03 12:44:05, 82, 80
2024-01-04 00:54:18, 82, 80
2024-01-04 12:43:47, 82, 80
2024-01-05 00:54:19, 82, 80
2024-01-05 12:43:50, 82, 80
2024-01-06 00:54:15, 82, 80
2024-01-06 12:43:25, 82, 80
2024-01-07 00:54:36, 82, 80
2024-01-07 12:43:17, 82, 80
2024-01-08 00:54:22, 82, 80
2024-01-08 12:44:38, 82, 80
2024-01-09 00:54:27, 82, 80
2024-01-10 00:54:22, 82, 80
2024-01-10 12:44:39, 82, 80
2024-01-11 00:54:30, 82, 80
2024-01-11 12:44:46, 82, 80
2024-01-12 00:54:28, 82, 80
2024-01-12 12:44:11, 82, 80
2024-01-13 00:54:18, 82, 80
2024-01-13 12:43:07, 82, 80
2024-01-14 00:54:41, 82, 80
2024-01-14 12:42:52, 82, 80
2024-01-15 00:54:31, 82, 80
2024-01-15 12:44:59, 82, 80
2024-01-16 00:54:20, 82, 80
2024-01-16 12:44:52, 82, 80
2024-01-17 00:54:27, 82, 80
2024-01-17 12:44:50, 82, 80
2024-01-18 00:54:29, 82, 80
2024-01-18 12:44:37, 82, 80
2024-01-19 00:54:25, 82, 80
2024-01-19 12:44:30, 82, 80
2024-01-20 00:54:20, 82, 80
2024-01-20 12:43:15, 82, 80
