datetime_utc,storage_slots_used,max_storage_slots
2023-07-04 01:36:40, 10966, 20000
2023-07-04 01:48:29, 10969, 20000
2023-07-04 12:48:17, 11159, 20000
2023-07-05 00:55:12, 11319, 20000
2023-07-05 12:49:44, 11457, 20000
2023-07-07 00:55:38, 13351, 20000
2023-07-07 05:21:31, 13458, 25000
2023-07-07 05:25:32, 13458, 25000
2023-07-07 12:47:29, 13701, 25000
2023-07-08 00:55:14, 13952, 25000
2023-07-08 12:45:42, 14166, 25000
2023-07-09 00:55:29, 14325, 25000
2023-07-09 12:45:43, 14534, 25000
2023-07-10 00:56:00, 14888, 25000
2023-07-10 12:48:02, 15313, 25000
2023-07-11 00:55:26, 15478, 25000
2023-07-11 12:48:07, 15637, 25000
2023-07-12 00:55:14, 15731, 25000
2023-07-12 05:07:16, 15760, 25000
2023-07-12 05:57:20, 15761, 25000
2023-07-12 06:09:19, 15763, 25000
2023-07-12 12:48:35, 15909, 25000
2023-07-13 00:55:32, 15983, 25000
2023-07-13 12:48:37, 16211, 25000
2023-07-14 00:56:14, 16355, 25000
2023-07-14 12:47:33, 16500, 25000
2023-07-18 00:56:41, 16607, 25000
2023-07-18 12:46:20, 16720, 25000
2023-07-19 00:59:12, 16894, 25000
2023-07-19 12:45:07, 16996, 25000
2023-07-20 00:55:51, 17072, 25000
2023-07-20 12:45:26, 17120, 25000
2023-07-21 00:55:10, 17227, 25000
2023-07-21 12:44:29, 17282, 25000
2023-07-22 00:55:25, 17311, 25000
2023-07-22 12:42:56, 17408, 25000
2023-07-23 00:55:07, 17470, 25000
2023-07-23 12:42:50, 17518, 25000
2023-07-24 00:55:40, 17603, 25000
2023-07-24 12:45:25, 17698, 25000
2023-07-25 00:55:16, 17733, 25000
2023-07-25 12:46:32, 17852, 25000
2023-07-26 00:55:11, 17892, 25000
2023-07-26 12:44:51, 17949, 25000
2023-07-27 00:54:26, 17958, 25000
2023-07-27 12:44:54, 17975, 25000
2023-07-28 00:53:50, 17988, 25000
2023-07-28 06:00:28, 18351, 25000
2023-07-28 12:44:39, 19161, 25000
2023-07-29 00:55:35, 19731, 25000
2023-07-29 12:42:13, 20055, 25000
2023-07-30 00:55:53, 20233, 25000
2023-07-30 12:42:47, 21042, 25000
2023-07-31 00:44:37, 21644, 25000
2023-07-31 02:02:10, 21659, 25000
2023-07-31 04:59:46, 21675, 25000
2023-07-31 12:45:55, 22052, 25000
2023-08-01 00:54:52, 22261, 25000
2023-08-01 12:44:55, 22514, 25000
2023-08-02 00:54:26, 22631, 25000
2023-08-02 12:44:56, 22773, 25000
2023-08-03 00:51:04, 22856, 25000
2023-08-03 12:44:50, 22954, 25000
2023-08-04 00:51:11, 22979, 25000
2023-08-04 12:43:53, 23018, 25000
2023-08-05 00:54:27, 23068, 25000
2023-08-05 12:42:18, 23148, 25000
2023-08-06 00:49:31, 23172, 25000
2023-08-06 12:42:08, 23223, 25000
2023-08-07 00:51:57, 23235, 25000
2023-08-07 12:44:26, 23255, 25000
2023-08-08 00:50:36, 23267, 25000
2023-08-08 12:44:06, 23308, 25000
2023-08-09 00:50:56, 23331, 25000
2023-08-09 12:45:56, 23385, 25000
2023-08-10 00:51:41, 23401, 25000
2023-08-10 12:45:50, 23418, 25000
2023-08-11 00:54:11, 23441, 25000
2023-08-11 12:43:01, 23453, 25000
2023-08-12 00:53:58, 23458, 25000
2023-08-12 12:41:29, 23472, 25000
2023-08-13 00:54:15, 23475, 25000
2023-08-13 12:41:25, 23485, 25000
2023-08-14 00:54:08, 23493, 25000
2023-08-14 12:43:36, 23524, 25000
2023-08-15 00:54:03, 23532, 25000
2023-08-15 12:43:08, 23550, 25000
2023-08-16 00:54:05, 23565, 25000
2023-08-16 12:43:29, 23573, 25000
2023-08-17 00:54:10, 23580, 25000
2023-08-17 12:43:05, 23633, 25000
2023-08-18 00:54:06, 23650, 25000
2023-08-18 12:43:05, 23655, 25000
2023-08-19 00:53:58, 23664, 25000
2023-08-19 12:41:12, 23712, 25000
2023-08-20 12:41:17, 23736, 25000
2023-08-21 00:54:11, 23757, 25000
2023-08-21 12:43:51, 23801, 25000
2023-08-22 00:54:14, 23848, 25000
2023-08-22 12:43:52, 23951, 25000
2023-08-23 00:54:16, 23959, 25000
2023-08-23 12:43:47, 23969, 25000
2023-08-24 00:54:08, 23984, 25000
2023-08-24 12:43:41, 23988, 25000
2023-08-25 00:54:11, 23989, 25000
2023-08-25 12:43:25, 24008, 25000
2023-08-26 00:54:04, 24015, 25000
2023-08-26 12:41:31, 24018, 25000
2023-08-27 00:54:23, 24027, 25000
2023-08-27 12:41:47, 24042, 25000
2023-08-28 00:54:09, 24057, 25000
2023-08-28 12:44:32, 24069, 25000
2023-08-29 00:54:10, 24080, 25000
2023-08-29 12:44:24, 24086, 25000
2023-08-30 00:54:07, 24093, 25000
2023-08-30 12:44:04, 24133, 25000
2023-08-31 00:54:14, 24175, 25000
2023-08-31 12:44:22, 24198, 25000
2023-09-01 00:54:29, 24234, 25000
2023-09-01 12:44:01, 24250, 25000
2023-09-02 00:53:58, 24260, 25000
2023-09-02 12:41:45, 24286, 25000
2023-09-03 00:54:28, 24301, 25000
2023-09-03 12:42:17, 24323, 25000
2023-09-04 00:54:13, 24330, 25000
2023-09-04 12:44:17, 24357, 25000
2023-09-05 00:54:15, 24383, 25000
2023-09-05 12:44:32, 24392, 25000
2023-09-06 00:54:20, 24406, 25000
2023-09-06 12:44:33, 24408, 25000
2023-09-07 00:54:10, 24410, 25000
2023-09-07 12:44:14, 24412, 25000
2023-09-08 00:54:05, 24413, 25000
2023-09-08 12:43:50, 24413, 25000
2023-09-09 00:54:03, 24420, 25000
2023-09-09 12:42:07, 24508, 25000
2023-09-10 00:54:24, 24545, 25000
2023-09-10 12:41:55, 24575, 25000
2023-09-11 00:54:15, 24607, 25000
2023-09-11 12:44:42, 24617, 25000
2023-09-12 00:54:05, 24621, 25000
2023-09-12 12:44:17, 24643, 25000
2023-09-13 00:54:12, 24647, 25000
2023-09-13 12:44:43, 24652, 25000
2023-09-14 00:54:09, 24653, 25000
2023-09-14 12:44:13, 24658, 25000
2023-09-15 00:54:12, 24952, 25000
2023-09-15 12:44:06, 25000, 25000
2023-09-16 00:54:07, 25000, 25000
2023-09-16 12:41:50, 25000, 25000
2023-09-17 00:54:28, 25000, 25000
2023-09-17 12:42:05, 25000, 25000
2023-09-18 00:54:14, 25000, 25000
2023-09-18 12:44:49, 25000, 25000
2023-09-19 00:54:21, 25000, 25000
2023-09-26 12:45:01, 25000, 25000
2023-09-27 00:54:17, 25000, 25000
2023-09-27 12:45:02, 25000, 25000
2023-09-28 00:54:11, 25000, 25000
2023-09-28 12:44:43, 25000, 25000
2023-09-29 00:54:12, 25000, 25000
2023-09-29 12:44:18, 25000, 25000
2023-09-30 00:54:05, 25000, 25000
2023-09-30 12:42:16, 25000, 25000
2023-10-01 00:54:41, 25000, 25000
2023-10-01 12:42:32, 25000, 25000
2023-10-02 00:54:14, 25000, 25000
2023-10-02 12:44:49, 25000, 25000
2023-10-03 00:54:19, 25000, 25000
2023-10-03 12:45:01, 25000, 25000
2023-10-04 00:54:23, 25000, 25000
2023-10-04 12:45:30, 25000, 25000
2023-10-05 00:54:18, 25000, 25000
2023-10-05 12:45:40, 25000, 25000
2023-10-06 00:54:16, 25000, 25000
2023-10-06 12:44:55, 25000, 25000
2023-10-07 00:54:09, 25000, 25000
2023-10-07 12:42:43, 25000, 25000
2023-10-08 00:54:28, 25000, 25000
2023-10-08 12:42:39, 25000, 25000
2023-10-09 00:54:13, 25000, 25000
2023-10-09 12:46:01, 25000, 25000
2023-10-10 00:54:14, 25000, 25000
2023-10-10 12:44:50, 25000, 25000
2023-10-11 00:54:13, 25000, 25000
2023-10-11 12:44:44, 25000, 25000
2023-10-12 00:54:10, 25000, 25000
2023-10-12 12:45:08, 25000, 25000
2023-10-13 00:54:20, 25000, 25000
2023-10-13 12:44:49, 25000, 25000
2023-10-14 00:54:07, 25000, 25000
2023-10-14 12:42:29, 25000, 25000
2023-10-15 00:54:30, 25000, 25000
2023-10-15 12:42:37, 25000, 25000
2023-10-16 00:54:17, 25000, 25000
2023-10-16 12:45:26, 25000, 25000
2023-10-17 00:54:19, 25000, 25000
2023-10-17 12:45:04, 25000, 25000
2023-10-18 00:54:17, 25000, 25000
2023-10-18 12:45:02, 25000, 25000
2023-10-19 00:54:18, 25000, 25000
2023-10-19 12:45:08, 25000, 25000
2023-10-20 00:54:18, 25000, 25000
2023-10-20 12:44:23, 25000, 25000
2023-10-21 00:54:05, 25000, 25000
2023-10-21 12:42:28, 25000, 25000
2023-10-22 00:54:28, 25000, 25000
2023-10-22 12:42:33, 25000, 25000
2023-11-16 00:54:32, 25000, 25000
