datetime_utc,storage_slots_used,max_storage_slots
2023-12-29 02:29:56, 81, 80
2023-12-29 02:46:43, 81, 80
2023-12-29 12:43:08, 81, 80
2023-12-30 00:54:12, 81, 80
2023-12-30 12:42:22, 82, 80
2023-12-31 00:54:31, 82, 80
2023-12-31 12:42:40, 82, 80
2024-01-01 00:54:34, 82, 80
2024-01-01 12:43:34, 82, 80
2024-01-02 00:54:13, 82, 80
2024-01-02 12:43:42, 82, 80
2024-01-03 00:54:18, 82, 80
2024-01-03 12:44:05, 82, 80
2024-01-04 00:54:19, 82, 80
2024-01-04 12:43:47, 82, 80
2024-01-05 00:54:19, 82, 80
2024-01-05 12:43:50, 82, 80
2024-01-06 00:54:16, 82, 80
2024-01-06 12:43:26, 82, 80
2024-01-07 00:54:37, 82, 80
2024-01-07 12:43:18, 82, 80
2024-01-08 00:54:23, 82, 80
2024-01-08 12:44:38, 82, 80
2024-01-09 00:54:27, 82, 80
2024-01-10 00:54:23, 82, 80
2024-01-10 12:44:40, 82, 80
2024-01-11 00:54:31, 82, 80
2024-01-11 12:44:47, 82, 80
2024-01-12 00:54:28, 82, 80
2024-01-12 12:44:11, 82, 80
2024-01-13 00:54:19, 82, 80
2024-01-13 12:43:08, 82, 80
2024-01-14 00:54:41, 82, 80
2024-01-14 12:42:53, 82, 80
2024-01-15 00:54:31, 82, 80
2024-01-15 12:44:59, 82, 80
2024-01-16 00:54:20, 82, 80
2024-01-16 12:44:52, 82, 80
2024-01-17 00:54:27, 82, 80
2024-01-17 12:44:51, 82, 80
2024-01-18 00:54:29, 82, 80
2024-01-18 12:44:38, 82, 80
2024-01-19 00:54:26, 82, 80
2024-01-19 12:44:30, 82, 80
2024-01-20 00:54:21, 82, 80
2024-01-20 12:43:15, 82, 80
2024-01-21 00:54:40, 82, 80
2024-01-21 12:43:10, 82, 80
2024-01-22 00:54:34, 82, 80
2024-01-22 12:45:32, 82, 80
2024-01-23 00:54:26, 82, 80
2024-01-23 12:45:10, 82, 80
2024-01-24 00:54:29, 82, 80
2024-01-24 12:45:09, 82, 80
2024-01-25 00:54:28, 82, 80
2024-01-25 12:45:01, 82, 80
2024-01-26 00:54:07, 82, 80
2024-01-26 12:42:28, 82, 80
2024-01-27 00:53:58, 82, 80
2024-01-28 00:54:18, 82, 80
2024-01-29 00:54:06, 82, 80
2024-01-29 12:43:02, 82, 80
2024-01-30 00:55:37, 82, 80
2024-01-30 12:42:40, 82, 80
2024-01-30 22:39:40, 82, 80
2024-01-31 00:57:13, 82, 80
2024-01-31 02:39:37, 82, 80
2024-01-31 04:39:56, 82, 80
2024-01-31 06:39:57, 82, 80
2024-01-31 08:39:39, 82, 80
2024-01-31 10:39:51, 82, 80
2024-01-31 12:43:56, 82, 80
2024-01-31 14:39:45, 82, 80
2024-01-31 16:39:42, 82, 80
2024-01-31 18:39:47, 82, 80
2024-01-31 20:39:56, 82, 80
2024-01-31 22:39:51, 82, 80
2024-02-01 00:57:20, 82, 80
2024-02-01 02:39:39, 82, 80
2024-02-01 04:39:57, 82, 80
2024-02-01 06:39:42, 82, 80
2024-02-01 08:39:43, 82, 80
2024-02-01 10:39:41, 82, 80
2024-02-01 12:44:01, 82, 80
2024-02-01 14:40:01, 82, 80
2024-02-01 16:39:52, 82, 80
2024-02-01 18:40:00, 82, 80
2024-02-01 20:39:41, 82, 80
2024-02-01 22:39:37, 82, 80
2024-02-02 00:57:11, 82, 80
2024-02-02 02:39:54, 82, 80
2024-02-02 04:39:58, 82, 80
2024-02-02 06:39:54, 82, 80
2024-02-02 08:40:01, 82, 80
2024-02-02 10:40:06, 82, 80
2024-02-02 12:43:29, 82, 80
2024-02-02 14:39:57, 82, 80
2024-02-02 16:39:57, 82, 80
2024-02-02 18:39:44, 82, 80
2024-02-02 20:39:59, 82, 80
2024-02-02 22:39:58, 82, 80
2024-02-03 00:57:10, 82, 80
2024-02-03 02:39:45, 82, 80
2024-02-03 04:39:45, 82, 80
2024-02-03 06:39:51, 82, 80
2024-02-03 08:39:37, 82, 80
2024-02-03 10:39:42, 82, 80
2024-02-03 12:42:46, 82, 80
2024-02-03 14:39:42, 82, 80
2024-02-03 16:40:00, 82, 80
2024-02-03 18:39:57, 82, 80
2024-02-03 20:39:52, 82, 80
2024-02-03 22:40:01, 82, 80
2024-02-04 00:57:25, 82, 80
2024-02-04 02:39:49, 82, 80
2024-02-04 04:39:52, 82, 80
2024-02-04 06:39:49, 82, 80
2024-02-04 08:39:59, 82, 80
2024-02-04 10:39:41, 82, 80
2024-02-04 12:42:47, 82, 80
2024-02-04 14:39:55, 82, 80
2024-02-04 16:39:40, 82, 80
2024-02-04 18:39:41, 82, 80
2024-02-04 20:39:51, 82, 80
2024-02-04 22:39:45, 82, 80
2024-02-05 00:57:14, 82, 80
2024-02-05 02:40:36, 82, 80
2024-02-05 04:39:56, 82, 80
