datetime_utc,storage_slots_used,max_storage_slots
2024-08-07 06:37:19, 16, 25000
2024-08-07 06:42:23, 16, 25000
2024-08-07 08:40:44, 16, 25000
2024-08-07 10:40:28, 16, 25000
2024-08-07 12:48:13, 16, 25000
2024-08-07 14:39:49, 16, 25000
2024-08-07 16:42:13, 16, 25000
2024-08-07 18:41:08, 16, 25000
2024-08-07 20:40:28, 16, 25000
2024-08-07 22:39:47, 16, 25000
2024-08-08 00:57:42, 16, 25000
2024-08-08 02:46:45, 16, 25000
2024-08-08 04:40:54, 16, 25000
2024-08-08 06:41:49, 16, 25000
2024-08-08 08:41:04, 16, 25000
2024-08-08 10:40:22, 16, 25000
2024-08-08 12:48:05, 16, 25000
2024-08-08 14:39:42, 16, 25000
2024-08-08 16:41:37, 16, 25000
2024-08-08 18:41:38, 16, 25000
2024-08-08 20:39:47, 16, 25000
2024-08-08 22:39:49, 16, 25000
2024-08-09 00:57:48, 16, 25000
2024-08-09 02:46:45, 16, 25000
2024-08-09 04:40:44, 16, 25000
2024-08-09 06:42:02, 16, 25000
2024-08-09 08:41:00, 16, 25000
2024-08-09 10:40:35, 16, 25000
2024-08-09 12:47:52, 16, 25000
2024-08-09 14:39:46, 16, 25000
2024-08-09 16:41:28, 16, 25000
2024-08-09 18:41:13, 16, 25000
2024-08-09 20:39:47, 16, 25000
2024-08-09 22:40:08, 16, 25000
2024-08-10 00:57:49, 16, 25000
