datetime_utc,storage_slots_used,max_storage_slots
2023-07-04 01:36:38, 3516, 20000
2023-07-04 01:48:27, 3516, 20000
2023-07-04 12:48:16, 3564, 20000
2023-07-05 00:55:10, 3650, 20000
2023-07-05 12:49:43, 3826, 20000
2023-07-07 00:55:35, 5004, 20000
2023-07-07 05:21:29, 5016, 20000
2023-07-07 05:25:30, 5017, 20000
2023-07-07 12:47:27, 5178, 20000
2023-07-08 00:55:12, 5393, 20000
2023-07-08 12:45:40, 5457, 20000
2023-07-09 00:55:27, 5613, 20000
2023-07-09 12:45:41, 5896, 20000
2023-07-10 00:55:58, 6332, 20000
2023-07-10 12:48:00, 6690, 20000
2023-07-11 00:55:24, 7069, 20000
2023-07-11 12:48:05, 7368, 20000
2023-07-12 00:55:11, 7746, 20000
2023-07-12 05:07:15, 7870, 20000
2023-07-12 05:57:18, 7897, 20000
2023-07-12 06:09:17, 7902, 20000
2023-07-12 12:48:33, 8096, 20000
2023-07-13 00:55:30, 8360, 20000
2023-07-13 12:48:35, 8579, 20000
2023-07-14 00:56:11, 8755, 20000
2023-07-14 12:47:32, 8784, 20000
2023-07-18 00:56:39, 8976, 20000
2023-07-18 12:46:18, 9014, 20000
2023-07-19 00:59:10, 9026, 20000
2023-07-19 12:45:05, 9049, 20000
2023-07-20 00:55:49, 9061, 20000
2023-07-20 12:45:24, 9066, 20000
2023-07-21 00:55:07, 9097, 20000
2023-07-21 12:44:26, 9114, 20000
2023-07-22 00:55:23, 9140, 20000
2023-07-22 12:42:54, 9160, 20000
2023-07-23 00:55:04, 9166, 20000
2023-07-23 12:42:47, 9189, 20000
2023-07-24 00:55:37, 9193, 20000
2023-07-24 12:45:22, 9225, 20000
2023-07-25 00:55:13, 9235, 20000
2023-07-25 12:46:29, 9257, 20000
2023-07-26 00:55:09, 9270, 20000
2023-07-26 12:44:49, 9288, 20000
2023-07-27 00:54:23, 9297, 20000
2023-07-27 12:44:51, 9309, 20000
2023-07-28 00:53:48, 9319, 20000
2023-07-28 06:00:25, 9327, 20000
2023-07-28 12:44:37, 9406, 20000
2023-07-29 00:55:33, 9480, 20000
2023-07-29 12:42:10, 9493, 20000
2023-07-30 00:55:50, 9517, 20000
2023-07-30 12:42:44, 9577, 20000
2023-07-31 00:44:34, 9650, 20000
2023-07-31 02:02:07, 9660, 20000
2023-07-31 04:59:44, 9662, 20000
2023-07-31 12:45:53, 9692, 20000
2023-08-01 00:54:50, 9746, 20000
2023-08-01 12:44:53, 9768, 20000
2023-08-02 00:54:23, 9791, 20000
2023-08-02 12:44:54, 9805, 20000
2023-08-03 00:51:02, 9823, 20000
2023-08-03 12:44:47, 9839, 20000
2023-08-04 00:51:08, 9844, 20000
